epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,10507.2,1.62463,2.287,1.77801,0.51193,0.45316,0.46975,0.21466,1.72505,2.18061,1.86393,0.000466997,0.000466997,0.000466997
70,11081.3,1.62679,2.31896,1.80331,0.48376,0.45665,0.44935,0.20931,1.70836,2.17564,1.84785,0.00045285,0.00045285,0.00045285
71,11651.4,1.62222,2.30135,1.80873,0.49724,0.48532,0.48357,0.22292,1.72578,2.15295,1.86537,0.000438703,0.000438703,0.000438703
72,12231.1,1.64258,2.31674,1.78949,0.50077,0.45632,0.48728,0.22931,1.69262,2.13004,1.8228,0.000424556,0.000424556,0.000424556
73,12802.8,1.61384,2.34506,1.78938,0.5117,0.44642,0.46563,0.21757,1.72095,2.25272,1.84871,0.000410409,0.000410409,0.000410409
74,13374.9,1.61865,2.24607,1.78941,0.53336,0.46591,0.46629,0.21879,1.70548,2.16352,1.83979,0.000396262,0.000396262,0.000396262
75,13947.8,1.62459,2.2653,1.80533,0.48203,0.46981,0.47173,0.23202,1.69438,2.13105,1.82689,0.000382115,0.000382115,0.000382115
76,14520.2,1.63752,2.24465,1.81423,0.55144,0.4733,0.50791,0.23433,1.7142,2.13337,1.84535,0.000367967,0.000367967,0.000367967
77,15049.7,1.5857,2.24681,1.79357,0.49587,0.52279,0.50158,0.24128,1.68566,2.12409,1.82252,0.00035382,0.00035382,0.00035382
78,15597,1.60192,2.25507,1.77878,0.54334,0.46846,0.50651,0.2354,1.70029,2.13056,1.83708,0.000339673,0.000339673,0.000339673
79,16151,1.5904,2.22195,1.77082,0.55309,0.46171,0.48734,0.23748,1.66816,2.11931,1.81634,0.000325526,0.000325526,0.000325526
80,16705.9,1.56438,2.20507,1.75778,0.5811,0.46441,0.50641,0.24207,1.67674,2.09718,1.80042,0.000311379,0.000311379,0.000311379
81,17262.9,1.58569,2.24815,1.78445,0.56644,0.50142,0.5184,0.25107,1.67412,2.06862,1.8131,0.000297232,0.000297232,0.000297232
82,17811.3,1.58082,2.24054,1.77941,0.50633,0.50358,0.49204,0.23753,1.67915,2.11899,1.82375,0.000283085,0.000283085,0.000283085
83,18358.2,1.57284,2.18993,1.74957,0.56413,0.50217,0.50228,0.23855,1.68575,2.1079,1.82241,0.000268938,0.000268938,0.000268938
84,18905.6,1.54997,2.16771,1.73088,0.62142,0.43494,0.50619,0.24145,1.67149,2.0757,1.79721,0.000254791,0.000254791,0.000254791
85,19455.5,1.58812,2.19661,1.76224,0.545,0.50438,0.5292,0.25349,1.69636,2.0952,1.81501,0.000240644,0.000240644,0.000240644
86,20002.5,1.55776,2.20849,1.75475,0.57761,0.47459,0.52123,0.24954,1.65662,2.08118,1.7867,0.000226497,0.000226497,0.000226497
87,20547.8,1.53805,2.15513,1.74232,0.60539,0.50316,0.53686,0.25882,1.65837,2.06886,1.79538,0.000212349,0.000212349,0.000212349
88,21094.9,1.54719,2.14033,1.74568,0.57286,0.5198,0.53055,0.25744,1.68195,2.08208,1.80473,0.000198202,0.000198202,0.000198202
89,21640.3,1.5273,2.12988,1.71249,0.55052,0.54414,0.5531,0.27214,1.65183,2.03258,1.7822,0.000184055,0.000184055,0.000184055
